Scrambling solved cube with: ['B', 'R', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R inverse', 'B inverse']
Scrambling solved cube with: ['B', 'R', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R inverse', 'B inverse']
Scrambling solved cube with: ['B', 'R', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R inverse', 'B inverse']
Scrambling solved cube with: ['B', 'R', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R inverse', 'B inverse']
Scrambling solved cube with: ['B', 'R', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R inverse', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'R']
*** SOLVED ***
Moves to solve: ['B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'R inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'U inverse']
*** SOLVED ***
Moves to solve: ['B inverse']
Scrambling solved cube with: ['B', 'U', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U inverse', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'U']
*** SOLVED ***
Moves to solve: ['B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'U inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'D inverse']
*** SOLVED ***
Moves to solve: ['B inverse']
Scrambling solved cube with: ['B', 'D', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D inverse', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'D']
*** SOLVED ***
Moves to solve: ['B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'D inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D', 'B inverse']
Scrambling solved cube with: ['B', 'F', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F inverse', 'B inverse']
Scrambling solved cube with: ['B', 'F', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F inverse', 'B inverse']
Scrambling solved cube with: ['B', 'F', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F inverse', 'B inverse']
Scrambling solved cube with: ['B', 'F', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F inverse', 'B inverse']
Scrambling solved cube with: ['B', 'F', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F inverse', 'B inverse']
Scrambling solved cube with: ['B', 'F', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F inverse', 'B inverse']
Scrambling solved cube with: ['B', 'F', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F inverse', 'B inverse']
Scrambling solved cube with: ['B', 'F', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F inverse', 'B inverse']
Scrambling solved cube with: ['B', 'F', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'F inverse', 'B inverse']
Scrambling solved cube with: ['B', 'F', 'F inverse']
*** SOLVED ***
Moves to solve: ['B inverse']
Scrambling solved cube with: ['B', 'F', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'B inverse', 'F inverse']
Scrambling solved cube with: ['B', 'F', 'B inverse']
*** SOLVED ***
Moves to solve: ['F inverse']
Scrambling solved cube with: ['B', 'F inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F', 'B inverse']
Scrambling solved cube with: ['B', 'F inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F', 'B inverse']
Scrambling solved cube with: ['B', 'F inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F', 'B inverse']
Scrambling solved cube with: ['B', 'F inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F', 'B inverse']
Scrambling solved cube with: ['B', 'F inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F', 'B inverse']
Scrambling solved cube with: ['B', 'F inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F', 'B inverse']
Scrambling solved cube with: ['B', 'F inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F', 'B inverse']
Scrambling solved cube with: ['B', 'F inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F', 'B inverse']
Scrambling solved cube with: ['B', 'F inverse', 'F']
*** SOLVED ***
Moves to solve: ['B inverse']
Scrambling solved cube with: ['B', 'F inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'F', 'B inverse']
Scrambling solved cube with: ['B', 'F inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'B inverse', 'F']
Scrambling solved cube with: ['B', 'F inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['F']
Scrambling solved cube with: ['B', 'B', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'B inverse', 'B inverse']
Scrambling solved cube with: ['B', 'B', 'B inverse']
*** SOLVED ***
Moves to solve: ['B inverse']
Scrambling solved cube with: ['B', 'B inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse']
Scrambling solved cube with: ['B', 'B inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L']
Scrambling solved cube with: ['B', 'B inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse']
Scrambling solved cube with: ['B', 'B inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R']
Scrambling solved cube with: ['B', 'B inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse']
Scrambling solved cube with: ['B', 'B inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U']
Scrambling solved cube with: ['B', 'B inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse']
Scrambling solved cube with: ['B', 'B inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D']
Scrambling solved cube with: ['B', 'B inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse']
Scrambling solved cube with: ['B', 'B inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F']
Scrambling solved cube with: ['B', 'B inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse']
Scrambling solved cube with: ['B', 'B inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'L', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L', 'L inverse']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'L', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'L']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'L inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'R inverse']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'R', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R inverse', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'R']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'R inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R', 'B']
Scrambling solved cube with: ['B inverse', 'U', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U inverse', 'B']
Scrambling solved cube with: ['B inverse', 'U', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U inverse', 'B']
Scrambling solved cube with: ['B inverse', 'U', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U inverse', 'B']
Scrambling solved cube with: ['B inverse', 'U', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U inverse', 'B']
Scrambling solved cube with: ['B inverse', 'U', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'U inverse', 'B']
Scrambling solved cube with: ['B inverse', 'U', 'U inverse']
*** SOLVED ***
Moves to solve: ['B']
Scrambling solved cube with: ['B inverse', 'U', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'U inverse', 'B']
